Rank,Overall Acc,Model,Model Link,Total Cost ($),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s),Non-Live AST Acc,Non-Live Simple AST,Non-Live Multiple AST,Non-Live Parallel AST,Non-Live Parallel Multiple AST,Live Acc,Live Simple AST,Live Multiple AST,Live Parallel AST,Live Parallel Multiple AST,Multi Turn Acc,Multi Turn Base,Multi Turn Miss Func,Multi Turn Miss Param,Multi Turn Long Context,Web Search Acc,Web Search Base,Web Search No Snippet,Memory Acc,Memory KV,Memory Vector,Memory Recursive Summarization,Relevance Detection,Irrelevance Detection,Format Sensitivity Max Delta,Format Sensitivity Standard Deviation,Organization,License
1,77.37%,BitAgent-Bounty-8B,https://huggingface.co/BitAgent/BitAgent-Bounty-8B,N/A,N/A,N/A,N/A,81.02%,71.58%,93.00%,82.00%,77.50%,92.67%,89.92%,93.73%,68.75%,91.67%,57.88%,75.50%,41.00%,60.00%,55.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,97.43%,N/A,N/A,Bittensor,Apache-2.0
2,70.96%,xLAM-2-8b-fc-r (FC),https://huggingface.co/Salesforce/Llama-xLAM-2-8b-fc-r,N/A,N/A,N/A,N/A,84.48%,73.42%,93.50%,87.00%,84.00%,67.73%,74.81%,66.57%,50.00%,54.17%,69.75%,77.50%,69.50%,64.50%,67.50%,0.00%,0.00%,0.00%,15.91%,5.16%,16.13%,26.45%,87.50%,63.11%,N/A,N/A,Salesforce,cc-by-nc-4.0
3,67.47%,gpt-oss-20b LoRA ckpt120-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,79.33%,69.17%,89.50%,0.00%,0.00%,77.19%,82.17%,75.97%,0.00%,0.00%,49.38%,56.00%,47.00%,44.50%,50.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,82.07%,N/A,N/A,OpenAI,apache-2.0
4,67.26%,gpt-oss-20b LoRA ckpt160-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,79.96%,69.42%,90.50%,0.00%,0.00%,78.57%,82.56%,77.59%,0.00%,0.00%,49.00%,58.50%,43.50%,44.50%,49.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,79.77%,N/A,N/A,OpenAI,apache-2.0
5,67.16%,gpt-oss-20b LoRA ckpt160-5epoch-v6data-simple-cot-only-answer-loss-A-method2-1-2-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,81.75%,73.00%,90.50%,0.00%,0.00%,79.41%,83.33%,78.44%,0.00%,0.00%,46.88%,58.00%,44.00%,42.00%,43.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,80.88%,N/A,N/A,OpenAI,apache-2.0
6,67.14%,gpt-oss-20b LoRA ckpt200-5epoch-v6data-apigen-only1-lr5e-7,self,N/A,N/A,N/A,N/A,81.42%,72.83%,90.00%,0.00%,0.00%,78.03%,79.46%,77.68%,0.00%,0.00%,47.50%,57.00%,41.00%,45.00%,47.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,81.26%,N/A,N/A,OpenAI,apache-2.0
7,66.95%,gpt-oss-20b LoRA ckpt160-5epoch-v6data-simple-cot-original2-test-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,81.29%,71.58%,91.00%,0.00%,0.00%,78.18%,82.17%,77.21%,0.00%,0.00%,47.62%,55.50%,44.50%,44.00%,46.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,80.04%,N/A,N/A,OpenAI,apache-2.0
8,66.91%,gpt-oss-20b LoRA ckpt120-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,79.29%,69.08%,89.50%,0.00%,0.00%,76.43%,80.23%,75.50%,0.00%,0.00%,48.25%,56.50%,42.00%,45.50%,49.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,82.34%,N/A,N/A,OpenAI,apache-2.0
9,66.75%,gpt-oss-20b LoRA ckpt160-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,79.79%,69.58%,90.00%,0.00%,0.00%,78.34%,82.56%,77.30%,0.00%,0.00%,48.00%,53.50%,45.50%,44.50%,48.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,79.62%,N/A,N/A,OpenAI,apache-2.0
10,66.75%,gpt-oss-20b LoRA ckpt200-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,80.58%,69.17%,92.00%,0.00%,0.00%,79.79%,84.50%,78.63%,0.00%,0.00%,47.38%,57.50%,41.00%,45.50%,45.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,78.62%,N/A,N/A,OpenAI,apache-2.0
11,66.59%,gpt-oss-20b LoRA ckpt280-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,81.33%,70.67%,92.00%,0.00%,0.00%,80.09%,82.56%,79.49%,0.00%,0.00%,46.50%,60.00%,41.50%,41.00%,43.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,78.52%,N/A,N/A,OpenAI,apache-2.0
12,66.55%,ToolACE-2-8B (FC),https://huggingface.co/Team-ACE/ToolACE-2-8B,N/A,N/A,N/A,N/A,87.73%,74.42%,92.00%,92.50%,92.00%,77.20%,70.16%,79.30%,75.00%,62.50%,38.62%,48.50%,31.50%,29.50%,45.00%,0.00%,0.00%,0.00%,13.33%,4.52%,7.10%,28.39%,75.00%,90.58%,34.5,11.9,Huawei Noah & USTC,Apache-2.0
13,66.54%,gpt-oss-20b LoRA ckpt400-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,83.58%,76.17%,91.00%,0.00%,0.00%,78.57%,81.78%,77.78%,0.00%,0.00%,45.25%,55.00%,37.00%,41.00%,48.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,80.05%,N/A,N/A,OpenAI,apache-2.0
14,66.44%,gpt-oss-20b LoRA ckpt160-5epoch-v6data-apigen-only1-lr5e-7,self,N/A,N/A,N/A,N/A,80.17%,69.33%,91.00%,0.00%,0.00%,78.64%,82.95%,77.59%,0.00%,0.00%,46.25%,55.00%,42.50%,42.50%,45.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,80.88%,N/A,N/A,OpenAI,apache-2.0
15,66.36%,gpt-oss-20b LoRA ckpt120-5epoch-v6data-simple-cot-original2-test-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,78.38%,68.25%,88.50%,0.00%,0.00%,77.19%,81.40%,76.16%,0.00%,0.00%,47.38%,56.50%,41.50%,44.00%,47.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,81.49%,N/A,N/A,OpenAI,apache-2.0
16,66.32%,gpt-oss-20b LoRA ckpt120-5epoch-v6data-apigen-only1-lr5e-7,self,N/A,N/A,N/A,N/A,78.62%,68.25%,89.00%,0.00%,0.00%,77.42%,81.01%,76.54%,0.00%,0.00%,46.25%,53.50%,43.50%,41.00%,47.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,83.06%,N/A,N/A,OpenAI,apache-2.0
17,66.25%,gpt-oss-20b LoRA ckpt240-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,79.29%,68.08%,90.50%,0.00%,0.00%,79.79%,84.88%,78.54%,0.00%,0.00%,46.00%,54.50%,42.00%,40.50%,47.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,80.17%,N/A,N/A,OpenAI,apache-2.0
18,66.15%,gpt-oss-20b LoRA ckpt200-5epoch-v6data-simple-cot-original2-test-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,80.79%,69.58%,92.00%,0.00%,0.00%,78.18%,83.33%,76.92%,0.00%,0.00%,46.25%,55.50%,41.50%,41.50%,46.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,79.26%,N/A,N/A,OpenAI,apache-2.0
19,66.14%,gpt-oss-20b LoRA ckpt720-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,83.42%,73.83%,93.00%,0.00%,0.00%,79.18%,81.01%,78.73%,0.00%,0.00%,44.25%,57.00%,35.50%,39.00%,45.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,79.62%,N/A,N/A,OpenAI,apache-2.0
20,66.14%,gpt-oss-20b LoRA ckpt200-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,82.12%,73.75%,90.50%,0.00%,0.00%,78.26%,81.01%,77.59%,0.00%,0.00%,45.88%,55.50%,40.00%,40.50%,47.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,78.56%,N/A,N/A,OpenAI,apache-2.0
21,66.03%,gpt-oss-20b LoRA ckpt320-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,82.75%,72.50%,93.00%,0.00%,0.00%,79.71%,82.95%,78.92%,0.00%,0.00%,44.38%,56.50%,37.00%,41.00%,43.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,78.96%,N/A,N/A,OpenAI,apache-2.0
22,65.95%,gpt-oss-20b LoRA ckpt440-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,81.92%,72.83%,91.00%,0.00%,0.00%,79.18%,81.01%,78.73%,0.00%,0.00%,45.12%,58.00%,34.50%,42.00%,46.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,78.39%,N/A,N/A,OpenAI,apache-2.0
23,65.93%,gpt-oss-20b LoRA ckpt120-5epoch-v6data-simple-cot-only-answer-loss-A-method2-1-2-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,82.08%,72.17%,92.00%,0.00%,0.00%,79.25%,84.11%,78.06%,0.00%,0.00%,44.88%,52.50%,42.00%,44.00%,41.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,78.54%,N/A,N/A,OpenAI,apache-2.0
24,65.91%,gpt-oss-20b LoRA ckpt80-5epoch-v6data-apigen-only1-lr5e-7,self,N/A,N/A,N/A,N/A,78.29%,68.08%,88.50%,0.00%,0.00%,76.51%,81.40%,75.31%,0.00%,0.00%,45.75%,55.00%,42.00%,41.00%,45.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,83.24%,N/A,N/A,OpenAI,apache-2.0
25,65.87%,gpt-oss-20b LoRA ckpt240-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,81.08%,71.67%,90.50%,0.00%,0.00%,79.71%,85.27%,78.35%,0.00%,0.00%,45.62%,55.00%,42.50%,40.00%,45.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,77.33%,N/A,N/A,OpenAI,apache-2.0
26,65.87%,gpt-oss-20b LoRA ckpt280-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,81.12%,71.25%,91.00%,0.00%,0.00%,80.17%,83.72%,79.30%,0.00%,0.00%,44.25%,53.00%,40.00%,41.50%,42.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,79.54%,N/A,N/A,OpenAI,apache-2.0
27,65.86%,gpt-oss-20b LoRA ckpt240-5epoch-v6data-apigen-only1-lr5e-7,self,N/A,N/A,N/A,N/A,80.33%,70.17%,90.50%,0.00%,0.00%,78.26%,82.17%,77.30%,0.00%,0.00%,44.88%,51.00%,42.00%,42.50%,44.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,80.96%,N/A,N/A,OpenAI,apache-2.0
28,65.79%,gpt-oss-20b LoRA ckpt640-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,81.50%,70.50%,92.50%,0.00%,0.00%,79.63%,82.17%,79.01%,0.00%,0.00%,43.62%,53.50%,36.00%,42.50%,42.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,80.58%,N/A,N/A,OpenAI,apache-2.0
29,65.68%,gpt-oss-20b LoRA ckpt120-5epoch-v6data-simple-cot-only-answer-loss-apigen-only1-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,80.17%,68.83%,91.50%,0.00%,0.00%,78.34%,83.72%,77.02%,0.00%,0.00%,46.13%,58.00%,39.50%,39.50%,47.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,77.65%,N/A,N/A,OpenAI,apache-2.0
30,65.64%,gpt-oss-20b LoRA ckpt160-5epoch-v6data-simple-cot-only-answer-loss-apigen-only1-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,80.96%,70.42%,91.50%,0.00%,0.00%,79.25%,82.17%,78.54%,0.00%,0.00%,43.88%,50.50%,41.50%,40.00%,43.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,80.26%,N/A,N/A,OpenAI,apache-2.0
31,65.64%,gpt-oss-20b LoRA ckpt480-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,81.88%,72.25%,91.50%,0.00%,0.00%,79.41%,82.95%,78.54%,0.00%,0.00%,43.50%,55.00%,37.50%,37.50%,44.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,79.94%,N/A,N/A,OpenAI,apache-2.0
32,65.58%,gpt-oss-20b LoRA ckpt200-5epoch-v6data-simple-cot-only-answer-loss-A-method2-1-2-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,82.96%,72.92%,93.00%,0.00%,0.00%,78.79%,82.95%,77.78%,0.00%,0.00%,43.50%,54.00%,36.50%,41.50%,42.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,79.16%,N/A,N/A,OpenAI,apache-2.0
33,65.49%,gpt-oss-20b LoRA ckpt680-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,82.42%,72.83%,92.00%,0.00%,0.00%,79.48%,81.78%,78.92%,0.00%,0.00%,43.62%,55.00%,35.50%,39.00%,45.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,78.29%,N/A,N/A,OpenAI,apache-2.0
34,65.49%,gpt-oss-20b LoRA ckpt360-5epoch-v6data-apigen-only1-lr5e-7,self,N/A,N/A,N/A,N/A,80.58%,70.67%,90.50%,0.00%,0.00%,78.57%,80.23%,78.16%,0.00%,0.00%,43.50%,49.00%,35.50%,44.50%,45.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,81.28%,N/A,N/A,OpenAI,apache-2.0
35,65.49%,gpt-oss-20b LoRA ckpt765-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,81.58%,70.17%,93.00%,0.00%,0.00%,80.17%,83.72%,79.30%,0.00%,0.00%,43.00%,52.50%,37.00%,40.00%,42.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,79.68%,N/A,N/A,OpenAI,apache-2.0
36,65.44%,gpt-oss-20b LoRA ckpt600-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,81.50%,71.00%,92.00%,0.00%,0.00%,79.56%,81.78%,79.01%,0.00%,0.00%,44.12%,55.00%,38.00%,39.50%,44.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,77.91%,N/A,N/A,OpenAI,apache-2.0
37,65.43%,gpt-oss-20b LoRA ckpt360-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,81.08%,71.17%,91.00%,0.00%,0.00%,79.25%,84.50%,77.97%,0.00%,0.00%,43.38%,54.50%,32.00%,41.50%,45.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,80.07%,N/A,N/A,OpenAI,apache-2.0
38,65.41%,gpt-oss-20b LoRA ckpt640-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,81.92%,70.83%,93.00%,0.00%,0.00%,79.56%,82.95%,78.73%,0.00%,0.00%,43.50%,55.00%,33.50%,40.00%,45.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,78.58%,N/A,N/A,OpenAI,apache-2.0
39,65.33%,gpt-oss-20b LoRA ckpt480-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,83.33%,74.17%,92.50%,0.00%,0.00%,80.17%,84.11%,79.20%,0.00%,0.00%,42.12%,53.00%,35.50%,34.50%,45.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,78.90%,N/A,N/A,OpenAI,apache-2.0
40,65.33%,gpt-oss-20b LoRA ckpt560-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,82.71%,73.92%,91.50%,0.00%,0.00%,79.48%,82.56%,78.73%,0.00%,0.00%,42.75%,54.50%,37.00%,37.50%,42.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,78.94%,N/A,N/A,OpenAI,apache-2.0
41,65.32%,gpt-oss-20b LoRA ckpt600-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,82.08%,71.17%,93.00%,0.00%,0.00%,78.79%,82.95%,77.78%,0.00%,0.00%,42.50%,56.00%,30.00%,41.00%,43.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,80.73%,N/A,N/A,OpenAI,apache-2.0
42,65.31%,gpt-oss-20b LoRA ckpt320-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,80.92%,71.33%,90.50%,0.00%,0.00%,78.79%,82.56%,77.87%,0.00%,0.00%,42.88%,54.50%,39.50%,38.50%,39.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,81.11%,N/A,N/A,OpenAI,apache-2.0
43,65.30%,gpt-oss-20b LoRA ckpt360-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,83.04%,72.58%,93.50%,0.00%,0.00%,80.09%,84.11%,79.11%,0.00%,0.00%,43.25%,55.50%,34.50%,39.50%,43.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,76.86%,N/A,N/A,OpenAI,apache-2.0
44,65.29%,gpt-oss-20b LoRA ckpt560-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,82.29%,73.08%,91.50%,0.00%,0.00%,79.63%,83.33%,78.73%,0.00%,0.00%,42.38%,53.00%,35.50%,38.00%,43.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,79.78%,N/A,N/A,OpenAI,apache-2.0
45,65.20%,gpt-oss-20b LoRA ckpt80-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,78.50%,70.00%,87.00%,0.00%,0.00%,76.05%,81.40%,74.74%,0.00%,0.00%,43.75%,52.00%,40.00%,40.50%,42.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,83.96%,N/A,N/A,OpenAI,apache-2.0
46,65.03%,gpt-oss-20b LoRA ckpt520-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,82.79%,73.58%,92.00%,0.00%,0.00%,78.26%,80.62%,77.68%,0.00%,0.00%,43.00%,53.50%,36.00%,40.50%,42.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,78.09%,N/A,N/A,OpenAI,apache-2.0
47,65.02%,gpt-oss-20b LoRA ckpt780-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,82.42%,72.83%,92.00%,0.00%,0.00%,79.48%,84.50%,78.25%,0.00%,0.00%,41.75%,51.50%,29.00%,42.50%,44.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,79.71%,N/A,N/A,OpenAI,apache-2.0
48,64.99%,gpt-oss-20b LoRA ckpt80-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,77.08%,67.67%,86.50%,0.00%,0.00%,76.96%,82.56%,75.59%,0.00%,0.00%,44.00%,55.00%,39.50%,39.50%,42.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,82.93%,N/A,N/A,OpenAI,apache-2.0
49,64.93%,gpt-oss-20b LoRA ckpt520-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,81.42%,72.83%,90.00%,0.00%,0.00%,79.56%,82.56%,78.82%,0.00%,0.00%,41.75%,54.00%,32.00%,40.00%,41.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,80.18%,N/A,N/A,OpenAI,apache-2.0
